(264,202)
(272,193)
(273,195)
(291,209)
(292,209)
(301,221)
(304,220)
(312,248)
(318,206)
(322,189)
(323,190)
(323,193)
(323,196)
(324,194)
(326,191)
(327,192)
(328,188)
(329,188)
(329,189)
(329,208)
(330,189)
(332,187)
(332,230)
(333,187)
(333,230)
(338,185)
(339,193)
(342,191)
(343,191)
(343,206)
(345,243)
(346,197)
(346,221)
(346,243)
(346,244)
(347,196)
(347,220)
(347,244)
(349,204)
(349,214)
(349,215)
(350,204)
(350,214)
(351,213)
(351,223)
(351,230)
(352,211)
(352,223)
(352,230)
(352,231)
(353,217)
(353,223)
(353,232)
(354,209)
(354,219)
(354,223)
(354,759)
(354,762)
(355,219)
(355,759)
(355,762)
(357,223)
(357,224)
(357,262)
(357,268)
(358,223)
(358,263)
(358,268)
(358,761)
(359,224)
(360,224)
(362,226)
(363,226)
(363,262)
(365,233)
(366,226)
(366,227)
(367,223)
(367,224)
(369,229)
(374,252)
(376,248)
(376,252)
(379,252)
(379,253)
(380,240)
(380,241)
(381,268)
(382,268)
(385,249)
(385,283)
(386,249)
(386,254)
(386,255)
(386,283)
(387,254)
(390,277)
(394,296)
(395,273)
(395,277)
(395,296)
(396,272)
(396,273)
(396,274)
(397,273)
(398,268)
(398,271)
(398,280)
(400,269)
(401,269)
(402,266)
(402,267)
(402,269)
(402,287)
(403,267)
(403,288)
(403,336)
(404,279)
(405,280)
(406,284)
(406,287)
(407,276)
(407,278)
(407,279)
(407,282)
(407,285)
(407,287)
(408,276)
(408,282)
(409,276)
(409,283)
(409,284)
(410,276)
(410,281)
(411,278)
(411,282)
(411,291)
(411,319)
(412,278)
(412,319)
(413,278)
(414,277)
(414,278)
(414,288)
(414,290)
(415,276)
(415,277)
(415,310)
(416,275)
(416,276)
(416,288)
(417,274)
(418,284)
(419,284)
(433,290)
(434,288)
(434,290)
(435,286)
(435,289)
(437,290)
(439,292)
(439,297)
(439,311)
(440,292)
(445,295)
(445,302)
(446,302)
(450,298)
(454,311)
(455,310)
(455,311)
(534,757)
(563,347)
(567,329)
(570,330)
(606,358)
(618,349)
(667,640)
(812,589)
